City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
170,Pacific Grove,US,2022-04-03 19:33:26,36.6177,-121.9166,64.2,78,20,12.66,few clouds
171,Te Anau,NZ,2022-04-03 19:38:10,-45.4167,167.7167,46.22,75,69,0.94,broken clouds
172,Benghazi,LY,2022-04-03 19:33:40,32.1167,20.0667,66.2,58,0,15.77,clear sky
173,Manono,CD,2022-04-03 19:38:11,-7.3,27.4167,70.54,91,100,2.08,overcast clouds
174,Hay River,CA,2022-04-03 19:38:11,60.8156,-115.7999,35.58,44,40,14.97,scattered clouds
175,Ancud,CL,2022-04-03 19:38:11,-41.8697,-73.8203,50.23,67,81,8.99,broken clouds
176,Ballina,AU,2022-04-03 19:38:12,-28.8667,153.5667,64.78,96,100,6.91,light rain
177,Mayahi,NE,2022-04-03 19:38:12,13.9553,7.6712,86.67,5,100,6.82,overcast clouds
178,Campoverde,PE,2022-04-03 19:38:12,-8.4753,-74.8058,82.09,39,17,1.05,few clouds
179,Haines Junction,CA,2022-04-03 19:39:13,60.7522,-137.5108,33.75,64,100,0.0,overcast clouds
180,Bandarbeyla,SO,2022-04-03 19:39:13,9.4942,50.8122,79.29,75,94,4.45,overcast clouds
181,Souillac,MU,2022-04-03 19:36:06,-20.5167,57.5167,79.18,83,75,11.5,broken clouds
182,Brewster,US,2022-04-03 19:39:13,41.3973,-73.6171,42.91,92,100,4.25,overcast clouds
183,Kintampo,GH,2022-04-03 19:39:14,8.0563,-1.7306,78.93,69,92,10.87,light rain
184,Ponta Do Sol,PT,2022-04-03 19:38:43,32.6667,-17.1,61.43,71,100,15.35,overcast clouds
185,Jieshi,CN,2022-04-03 19:39:14,22.8134,115.8257,61.95,60,0,16.31,clear sky
186,El Alto,PE,2022-04-03 19:39:15,-4.2714,-81.2147,83.86,69,57,16.42,broken clouds
187,Upernavik,GL,2022-04-03 19:34:16,72.7868,-56.1549,18.46,86,46,3.96,scattered clouds
