City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
63,Trairi,BR,78.3,scattered clouds,-3.2778,-39.2689,janelas do mar
67,Bras-Panon,RE,74.86,moderate rain,-20.9967,55.6782,le meublé
69,Kanigoro,ID,71.42,scattered clouds,-8.13,112.219,Musafer Villa ( Villa Erlin )
70,Vanimo,PG,77.31,overcast clouds,-2.6741,141.3028,Vahmoneh Lodge Vanimo
73,Georgetown,MY,78.73,few clouds,5.4112,100.3354,Cititel Penang
79,Waingapu,ID,76.17,few clouds,-9.6567,120.2641,Pondok Wisata Elim
82,Camopi,GF,73.85,overcast clouds,3.1655,-52.3158,La pousada
85,San Cristobal,VE,82.58,scattered clouds,7.7669,-72.225,Pirineos
86,Itarema,BR,79.29,moderate rain,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
88,Gat,IL,72.39,overcast clouds,31.61,34.7642,OlusHome
90,Atuona,PF,79.95,broken clouds,-9.8,-139.0333,Villa Enata
94,Victoria Point,AU,70.16,broken clouds,-27.5833,153.3,Bay Retreat Motel
95,Quatre Cocos,MU,80.1,few clouds,-20.2078,57.7625,Sunrise Attitude Hotel
97,Aitape,PG,77.09,overcast clouds,-3.1374,142.3475,
98,Belmonte,BR,80.98,clear sky,-15.8631,-38.8828,Pousada Monte Carmelo O Pão
99,Praia,CV,73.94,few clouds,14.9215,-23.5087,LT Aparthotel
101,Vaini,TO,73.56,light intensity shower rain,-21.2,-175.2,Keleti Beach Resort
104,Hithadhoo,MV,83.03,broken clouds,-0.6,73.0833,Scoop Guest House
108,Isabela,PH,78.82,overcast clouds,6.7085,121.9711,Isawad Resort
109,Ekpoma,NG,78.94,broken clouds,6.7421,6.139,Alice Hotels
113,Bubaque,GW,75.2,scattered clouds,11.2833,-15.8333,"Casa Dora, Bubaque"
115,East London,ZA,72.39,overcast clouds,-33.0153,27.9116,Tu Casa
120,Sao Filipe,CV,71.13,clear sky,14.8961,-24.4956,Hotel Xaguate
125,Lorengau,PG,80.06,overcast clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
126,Jalu,LY,78.8,clear sky,29.0331,21.5482,صاحبة الفخامة
128,Ambilobe,MG,73.2,light rain,-13.2,49.05,Hôtel & Restaurant DIANA Ambilobe
129,Mount Isa,AU,74.97,light rain,-20.7333,139.5,ibis Styles Mt Isa Verona
130,Bauchi,NG,82.69,overcast clouds,10.5,10.0,
137,Sangmelima,CM,71.11,overcast clouds,2.9333,11.9833,gamestar hotel
138,Sahuaripa,MX,89.46,broken clouds,29.05,-109.2333,Estatua de Sahuaripa
139,Kavaratti,IN,82.31,broken clouds,10.5669,72.642,Hotels in Lakshadweep Islands
140,Avarua,CK,77.05,few clouds,-21.2078,-159.775,Paradise Inn
142,Geraldton,AU,72.01,broken clouds,-28.7667,114.6,Broadwater Mariner Resort
143,Puerto Escondido,MX,85.03,clear sky,15.85,-97.0667,Aldea del Bazar Hotel and Spa
144,Bengkulu,ID,76.93,overcast clouds,-3.8004,102.2655,Grage Hotel Bengkulu
149,Hualmay,PE,73.51,few clouds,-11.0964,-77.6139,Hotel Villa Kitzia Huacho
153,Auki,SB,77.23,overcast clouds,-8.7676,160.7034,Auki Motel
154,Acapulco,MX,80.42,few clouds,16.8634,-99.8901,HS Hotsson Smart Acapulco
156,San Patricio,US,87.17,clear sky,28.017,-97.5169,"Motel 6 Sinton, TX"
159,Sao Miguel Do Araguaia,BR,84.31,few clouds,-13.275,-50.1628,Hotel Executivo Palace
166,Vao,NC,79.11,overcast clouds,-22.6667,167.4833,Hotel Kou-Bugny
167,Carnarvon,AU,77.07,scattered clouds,-24.8667,113.6333,Hospitality Carnarvon
