City_ID,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
167,New Norfolk,98,AU,2022-04-03 16:04:36,88,-42.7826,147.0587,56.7,0.94
168,Ilhabela,15,BR,2022-04-03 16:04:36,73,-23.7781,-45.3581,80.08,6.53
169,La Colmena,98,PY,2022-04-03 16:04:37,65,-25.8833,-56.8167,81.05,6.71
170,Salisbury,100,GB,2022-04-03 16:00:28,45,51.0693,-1.7957,50.02,7.49
171,Bilma,100,NE,2022-04-03 16:04:37,3,18.6853,12.9164,101.86,7.0
172,Kavieng,94,PG,2022-04-03 16:04:37,82,-2.5744,150.7967,80.24,5.84
173,Lakselv,75,NO,2022-04-03 16:04:38,68,70.0513,24.9718,26.42,3.44
174,Laguna,0,US,2022-04-03 16:04:38,50,38.421,-121.4238,65.95,4.61
175,Bereda,63,ES,2022-04-03 16:04:38,56,43.2686,-7.5406,49.14,10.02
176,Meiringen,40,CH,2022-04-03 16:04:39,69,46.7268,8.184,40.15,12.66
177,Zhuhai,0,CN,2022-04-03 16:04:39,68,22.2769,113.5678,65.98,12.66
178,Cedar City,20,US,2022-04-03 16:03:41,34,37.6775,-113.0619,47.39,8.05
179,Makakilo City,75,US,2022-04-03 16:04:39,67,21.3469,-158.0858,72.68,11.5
180,Venado,84,MX,2022-04-03 16:04:01,45,22.9333,-101.0833,69.3,2.3
181,Seoul,0,KR,2022-04-03 16:00:56,40,37.5683,126.9778,44.04,1.74
182,Kampene,85,CD,2022-04-03 16:05:40,96,-3.6,26.6667,72.73,0.6
183,Vostok,0,RU,2022-04-03 16:05:41,82,46.4856,135.8833,28.9,7.07
184,Sal Rei,40,CV,2022-04-03 16:05:41,57,16.1833,-22.9167,75.4,10.36
185,Ketchikan,100,US,2022-04-03 16:05:41,81,55.3422,-131.6461,42.78,12.66
186,Ferrol,24,ES,2022-04-03 16:05:42,56,43.4832,-8.2369,57.36,18.88
187,Yuzhno-Kurilsk,0,RU,2022-04-03 16:05:42,88,44.0306,145.8556,35.26,10.18
188,Hervey Bay,3,AU,2022-04-03 16:05:43,89,-25.2986,152.8535,70.02,8.01
189,Kampot,93,KH,2022-04-03 16:05:43,75,10.6167,104.1833,80.65,14.18
190,Tambovka,100,RU,2022-04-03 16:05:43,71,50.0969,128.0489,36.55,9.62
191,Evensk,29,RU,2022-04-03 16:05:44,85,61.95,159.2333,5.74,6.11
192,Ibra,21,OM,2022-04-03 16:05:44,27,22.6906,58.5334,83.57,13.8
193,Daphne,0,US,2022-04-03 16:01:12,47,30.6035,-87.9036,75.58,9.22
194,Garut,100,ID,2022-04-03 16:05:45,98,-7.2024,107.8878,72.52,2.1
195,Cao Bang,0,VN,2022-04-03 16:05:45,66,22.6667,106.25,57.2,1.07
196,Hailey,0,US,2022-04-03 16:05:45,36,43.5196,-114.3153,43.88,9.22
197,Capissayan,96,PH,2022-04-03 16:05:46,97,18.0509,121.8177,72.66,3.56
198,Hohhot,40,CN,2022-04-03 16:05:46,26,40.8106,111.6522,46.74,3.36
199,Mount Gambier,17,AU,2022-04-03 16:01:36,95,-37.8333,140.7667,53.01,2.89
200,Avarua,100,CK,2022-04-03 16:05:47,100,-21.2078,-159.775,73.45,1.14
201,Fort Saint James,55,CA,2022-04-03 16:05:47,68,54.4333,-124.25,36.12,5.68
202,Santa Cruz,0,BO,2022-04-03 16:01:59,51,-17.8,-63.1667,81.54,16.64
203,Muroto,99,JP,2022-04-03 16:05:47,75,33.2833,134.15,55.47,11.72
204,Ribeira Grande,40,PT,2022-04-03 16:05:48,72,38.5167,-28.7,64.8,13.8
205,Una,0,IN,2022-04-03 16:05:48,65,20.8167,71.0333,79.27,11.14
206,Kavaratti,62,IN,2022-04-03 16:05:48,72,10.5669,72.642,82.78,8.01
207,Bambous Virieux,72,MU,2022-04-03 16:05:49,78,-20.3428,57.7575,79.21,14.88
208,Lavrentiya,30,RU,2022-04-03 16:05:49,94,65.5833,-171.0,-13.54,10.51
209,The Valley,2,AI,2022-04-03 16:02:15,65,18.217,-63.0578,83.1,18.19
210,Ust-Tsilma,100,RU,2022-04-03 16:05:49,90,65.441,52.1498,24.37,9.78
211,Ixtapa,100,MX,2022-04-03 16:05:50,69,20.7,-105.2,76.23,3.44
212,Carutapera,41,BR,2022-04-03 16:05:50,71,-1.195,-46.02,84.92,8.52
213,Tshikapa,99,CD,2022-04-03 16:05:50,74,-6.4167,20.8,80.87,2.21
214,Hilo,100,US,2022-04-03 16:05:51,88,19.7297,-155.09,71.33,5.75
215,San Patricio,0,US,2022-04-03 16:05:51,55,28.017,-97.5169,78.08,8.61
216,Elko,10,US,2022-04-03 16:05:51,48,41.0002,-115.5012,39.63,5.99
217,Komsomolskiy,3,UZ,2022-04-03 16:05:52,34,40.4272,71.7189,66.63,5.75
218,Hinesville,0,US,2022-04-03 16:05:52,39,31.8469,-81.5959,71.78,10.36
219,Malakal,100,SS,2022-04-03 16:05:53,23,9.5334,31.6605,97.63,9.08
220,Ostrovnoy,99,RU,2022-04-03 16:05:53,87,68.0531,39.5131,18.57,9.46
221,Kalmunai,7,LK,2022-04-03 16:05:53,77,7.4167,81.8167,80.51,5.3
222,Tuatapere,60,NZ,2022-04-03 16:05:54,92,-46.1333,167.6833,47.89,2.66
223,Damietta,42,EG,2022-04-03 16:05:54,69,31.4165,31.8133,65.08,9.98
224,Florianopolis,75,BR,2022-04-03 16:01:08,93,-27.6146,-48.5012,74.12,3.44
225,Luganville,100,VU,2022-04-03 16:06:54,93,-15.5333,167.1667,77.63,14.79
226,Edson,89,CA,2022-04-03 16:06:55,65,53.5835,-116.4356,35.4,4.03
227,Gherghesti,100,RO,2022-04-03 16:06:55,78,46.5,27.5167,38.28,13.91
228,Tual,26,ID,2022-04-03 16:06:55,67,-5.6667,132.75,82.26,6.04
229,Derzhavinsk,100,KZ,2022-04-03 16:06:56,96,51.1,66.3167,37.89,12.12
230,Biloela,6,AU,2022-04-03 16:06:56,92,-24.4167,150.5,65.28,2.57
231,Ixtlahuacan Del Rio,98,MX,2022-04-03 16:06:56,24,20.8667,-103.25,70.27,1.5
232,Zhigansk,95,RU,2022-04-03 16:06:57,100,66.7697,123.3711,2.68,8.08
233,Boa Vista,100,BR,2022-04-03 16:06:57,74,2.8197,-60.6733,80.58,10.36
234,Fukue,0,JP,2022-04-03 16:06:57,59,32.6881,128.8419,55.08,18.54
235,Brasileia,75,BR,2022-04-03 16:06:58,65,-11.0161,-68.7481,82.85,2.3
236,Meulaboh,100,ID,2022-04-03 16:06:58,88,4.1363,96.1285,73.94,6.22
237,San Quintin,100,MX,2022-04-03 16:06:58,68,30.4833,-115.95,59.41,4.9
238,Manokwari,100,ID,2022-04-03 16:06:59,81,-0.8667,134.0833,78.1,3.56
239,Cap Malheureux,69,MU,2022-04-03 16:06:59,79,-19.9842,57.6142,79.47,5.99
240,Dicabisagan,67,PH,2022-04-03 16:06:59,88,17.0818,122.4157,75.15,2.89
241,Sungaipenuh,64,ID,2022-04-03 16:06:59,90,-2.0833,101.3833,63.07,1.57
242,Port Augusta,0,AU,2022-04-03 16:07:00,61,-32.5,137.7667,61.99,5.14
243,Suntar,89,RU,2022-04-03 16:07:00,97,62.1444,117.6319,7.65,4.7
244,Arraial Do Cabo,75,BR,2022-04-03 16:07:00,70,-22.9661,-42.0278,84.06,11.5
245,Seymchan,96,RU,2022-04-03 16:07:01,99,62.8833,152.4333,-14.04,1.1
246,Suluq,0,LY,2022-04-03 16:07:01,11,31.6682,20.2521,86.58,3.15
247,Srednekolymsk,73,RU,2022-04-03 16:07:01,100,67.45,153.6833,-19.19,1.7
248,Portland,100,US,2022-04-03 16:03:20,84,45.5234,-122.6762,48.11,4.61
249,Belaya Gora,70,RU,2022-04-03 16:07:02,100,68.5333,146.4167,-19.8,1.36
